CFGPdb_unigene	clones	libraries_specific	annotation	Arabidopsis_first_BLAST_hit_ID	Arabidopsis_first_BLAST_hit_description
aCL5Contig6	KN0AAA1BG07,C18014D04,C18017G10,C04035B09,C34203D04,C06010E07,KN0AAP7YC17	no	expressed protein	AT5G27860	expressed protein
aCL5Contig7	C05011D06,C05011D09,KN0AAA2DE07,C31402A02,C18017G09,KN0AAN2CC02,KN0AAN1BF09,KN0AAN1CH01,KN0AAN1DA12,KN0AAN3CD02,KN0AAN3DD08,C02011H08,C02015G08,IC0AAA64AG07,IC0AAA74DG03,KN0AAQ12YJ21,IC0AAA10CH11,IC0AAA82BG12,IC0AAA58CG11,IC0AAA2AD01,IC0AAA62DA06,IC0AAA98BB03,IC0AAA91CG03,IC0AAA25AA04,IC0AAA82DF10,IC0AAA46DB04,KN0AAQ6YF10,IC0AAA9BD04,KN0AAQ1YG03,IC0AAA89DB11,IC0AAA6AC03,KN0AAQ11YP09,KN0AAQ6YL18,IC0AAA98DG03,IC0AAA14DC10,IC0AAA2DC09,KN0AAQ3YC23,IC0AAA20CG08,IC0AAA22BD07,IC0AAA8AA09,IC0AAA39DF05,IC0AAA15AC10,IC0AAA62AA07,IC0AAA60BG02,IC0AAA77DE12,IC0AAA21AC12,IC0AAA62BB11,IC0AAA73AA05,IC0AAA53BB05,IC0AAA1DD07,C20009F04,C34110G04,C34102G01,C34108A04,KN0AAP7YB12,KN0AAP1YG02,C01012B09,C01016H11,C01009A06	no	T20M3.14 protein	AT1G05870	expressed protein
aCL6026Contig1	C21005A03,C21005H06,C18022C04	no	F2K11.20	AT1G63420	expressed protein
aCL6033Contig1	C18019E02,C18022F07,C06009C03	no	F14D16.29	no_similar_Arabidopsis_protein	
aCL6054Contig1	KN0AAK1AB09,C18021B04,C34202C10	no	no_annotation_available	no_similar_Arabidopsis_protein	
aCL605Contig1	C18018G09,C19009B11,C19009C11,IC0AAA5CD07,IC0AAA55CC12,KN0AAQ8YP10,IC0AAA44AD06,IC0AAA79DD10,C08008D04,C08011G12,C34006E12,C34009F03,C34103B09,KN0AAP12YP04	no	Hexose transporter	AT5G26340	hexose transporter, putative, strong similarity to hexose transporter, Lycopersicon esculentum, GI:5734440; contains Pfam profile PF00083: major facilitator superfamily protein
aCL6071Contig1	C18007E03,C06009A02,C04019F04	no	At1g22140/F2E2_13	AT1G22140	expressed protein
aCL60Contig3	KN0AAI1DB04,C05074A12,C18007E08,IC0AAA38DA09,IC0AAA90BA06,IC0AAA64DG11,IC0AAA41DC12,IC0AAA9CC08,IC0AAA67AB07,IC0AAA78AA07,C08012C06,C34105H02	no	Ubiquinol-cytochrome c reductase iron-sulfur subunit 2, mitochondrial precursor	AT5G13430	ubiquinol-cytochrome C reductase iron-sulfur subunit, mitochondrial, putative / Rieske iron-sulfur protein, putative, similar to ubiquinol--cytochrome-c reductase from Solanum tuberosum (SP:P37841), Nicotiana tabacum (SP:P51132) (SP:P51133); non-consensus AT acceptor splice site at exon 2
aCL6109Contig1	C18020G10,C18022F08,KN0AAP8YA01	no	Expressed protein	AT3G09980	expressed protein, contains Pfam profile PF04949: Family of unknown function (DUF662)
aCL6157Contig1	C18025F06,KN0AAN2CC08,KN0AAN2BH04	no	HcrVf2 protein	AT5G25910	putative disease resistance protein induced by chitin oligomers.
aCL6182Contig1	KN0AAB3AB12,C18005A09,KN0AAP5YP22	no	Putative cytochrome P450	AT2G26710	BAS1 | Encodes a member of the cytochrome p450 family. Involved in brassinolide metabolism. Mediates response to a variety of light signals including hypocotyl elongation and cotyledon expansion.
aCL6192Contig1	C18012F05,C04031A01,C01016B12	no	PHCLF3	AT4G02020	zeste-like protein 1 (EZA1), identical to enhancer of zeste-like protein 1(EZA1) (GI:4185507) (Arabidopsis thaliana); similar to polycomb group (Arabidopsis thaliana) GI:1903019 (curly leaf); contains Pfam profile PF00856: SET domain
aCL6226Contig1	C18018B12,C05136H12,C01006C04	no	OSJNBa0027P08.10 protein	AT4G10300	expressed protein
aCL6274Contig1	C18018G01,C02017H04,C02022E06	no	expressed protein	AT4G37440	expressed protein
aCL6301Contig1	C18014E01,C18023C04,C06014E01	no	Transcription elongation factor 1 homolog	AT5G46030	expressed protein, contains Pfam profile PF05129: Putative zinc binding domain (DUF701)
aCL6310Contig1	C18005D09,C18018G05,C18025H07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aCL6329Contig1	C18004E03,IC0AAA65BH03,C08038C10	no	P58IPK	AT5G03160	DNAJ heat shock N-terminal domain-containing protein, similar to P58 protein, Bos primigenius taurus, PIR:A56534; similar to p58 (GI:1353270) {Homo sapiens}; contains Pfam PF00226: DnaJ domain; contains Pfam PF00515: TPR Domain
aCL6359Contig1	KN0AAI1BF08,C18020C07,C07005C08	no	Expressed protein	AT2G25950	expressed protein
aCL6380Contig1	C18002F05,C18002G07,C02027F11	no	expressed protein	AT3G12320	expressed protein
aCL63Contig4	C31103E11,C31104G08,KN0AAI3BG05,C31203F10,C31302F12,C05068B05,C18021G01,C05146D06,C04032G10,C04027C05,IC0AAA9BG12,IC0AAA6BH10,C08033C10,C08016B02,C08013G09,C08001D12,C34204F11,C32007E07,C32007F04,C32008B05,C32013H02,C07010A10,C01011F07,C01015B05,C01016A04,C01018E11,C01018H04,C01020F02,C01005D10,C01009G10	no	Catalase	AT4G35090	catalase 2, identical to catalase 2 SP:P25819, GI:17865693 from (Arabidopsis thaliana)
aCL6429Contig1	C18006A10,IC0AAA19CA08,IC0AAA16BC12	no	Expressed protein	AT5G07330	expressed protein
aCL646Contig1	C18017B06,C06009E05,C05015F07,C02007F10,KN0AAL2AB02,C20010H03,C08036C06,C08038B09,C08001D07,C07004A06,C07007G09,KN0AAP7YC03,KN0AAP2YE19,KN0AAP2YM09,KN0AAP2YP07,KN0AAP9YF10,KN0AAP4YO05,KN0AAP1YJ09,C01005E07	no	Profilin-like protein	AT5G56600	profilin 5 (PRO5) (PRF3), identical to SP:Q9FE63 Profilin 5 {Arabidopsis thaliana}
aCL6484Contig1	C05076D06,C18008A08,IC0AAA56CB10	no	DNA-binding protein	AT5G65310	homeobox-leucine zipper protein 5 (HB-5) / HD-ZIP transcription factor 5, identical to homeobox-leucine zipper protein ATHB-5 (HD-ZIP protein ATHB-5) (SP:P46667) (Arabidopsis thaliana)
aCL6535Contig1	C18012D02,IC0AAA12CA01,C31810D08	no	no_annotation_available	no_similar_Arabidopsis_protein	
aCL6547Contig1	C32003B10,C18004E07	no	Arabidopsis thaliana genomic DNA, chromosome 3, P1 clone: MDC16	AT3G13940	expressed protein, weak similarity to DNA-directed RNA polymerase I 49 kDa polypeptide (EC 2.7.7.6) (A49) (Swiss-Prot:O14086) (Schizosaccharomyces pombe); similar to Nuclear pore complex protein Nup107 (Nucleoporin Nup107) (107 kDa nucleoporin) (p105) (Swiss-Prot:P52590) (Rattus norvegicus)
aCL654Contig1	C18013B07,C18017C10,C05134H11,KN0AAM1DB07,KN0AAM1DC12,KN0AAM2AH01,KN0AAM3DG05,KN0AAM1BB02,KN0AAM1BD12,KN0AAM1CD12,C01019H02	no	Putative glutathione S-transferase T3	AT2G29420	glutathione S-transferase, putative
aCL654Contig2	C31301C12,C05073H11,C05074C08,C05076F04,C18014F08,KN0AAM1DG07,KN0AAM2AF05	no	Putative glutathione S-transferase T3	AT2G29420	glutathione S-transferase, putative
aCL6554Contig1	C18009F08,C18015E06	yes	Galactinol-raffinose galactosyltransferase	AT4G01970	raffinose synthase family protein [Arabidopsis thaliana] (TAIR:At5g40390.1); similar to raffinose synthase [Cucumis sativus] (GB:AAD02832.1); similar to galactinol-raffinose galactosyltransferase [Vigna angularis] (GB:CAB64363.1); similar to putative alkaline alpha galactosidase I [Oryza sativa (japonica cultivar-group)] (GB:XP_550270.1); similar to putative raffinose synthase [Oryza sativa (japonica cultivar-group)] (GB:NP_909442.1); similar to stachyose synthase [Pisum sativum] (GB:CAD55555.1); contains InterPro domain Raffinose synthase (InterPro:IPR008811)
aCL6557Contig1	C18023E10,C02009A11	no	Putative sugar transporter	AT2G48020	sugar transporter, putative, similar to ERD6 protein {Arabidopsis thaliana} GI:3123712, sugar-porter family proteins 1 and 2 (Arabidopsis thaliana) GI:14585699, GI:14585701; contains Pfam profile PF00083: major facilitator superfamily protein
aCL6586Contig1	C18004B09,C08029F09	no	LON protease homologue	AT5G47040	Lon protease homolog 1, mitochondrial (LON), identical to Lon protease homolog 1 mitochondrial precursor SP:O64948 from (Arabidopsis thaliana)
aCL6587Contig1	KN0AAK1BB04,C18021E07	no	HyuC-like protein	AT4G20070	peptidase M20/M25/M40 family protein, contains similarity to hydantoin utilization protein C (Pseudomonas sp.) SWISS-PROT:Q01264; contains Pfam profile PF01546: Peptidase family M20/M25/M40
aCL6605Contig1	C18011G10,C08020G07	no	Putative WD-40 repeat protein	AT3G15610	transducin family protein / WD-40 repeat family protein, contains 7 WD-40 repeats (PF00400); similar to serine/threonine kinase receptor associated protein GB:NP_035629 (SP:Q9Z1Z2) (Mus musculus); UNR-interacting protein GB:NP_009109 (Homo sapiens)
aCL6612Contig1	C18025G05,IC0AAA2BD02	no	no_annotation_available	no_similar_Arabidopsis_protein	
aCL6648Contig1	C18021C12,KN0AAM1AA07	no	Protein At3g01310	AT5G15070	expressed protein
aCL664Contig3	C31402H10,C31302B06,C18012H07,KN0AAL1DA08,C34207G08,KN0AAP9YM01,KN0AAP6YG11,C01012F11	no	40S ribosomal protein S5	AT3G11940	40S ribosomal protein S5 (RPS5B), similar to 40S ribosomal protein S5 GB:AAC98068 GI:4056502 from (Arabidopsis thaliana)
aCL6670Contig1	C18011C08,IC0AAA35AF02	no	Putative DNA-binding protein	AT5G62940	Dof-type zinc finger domain-containing protein, Dof zinc finger protein, Oryza sativa, EMBL:AB028129
aCL6682Contig1	C18020H04,C07002H03	no	no_annotation_available	no_similar_Arabidopsis_protein	
aCL6683Contig1	C18015C12,C18016D05	yes	Stachyose synthase	AT4G01970	raffinose synthase family protein [Arabidopsis thaliana] (TAIR:At5g40390.1); similar to raffinose synthase [Cucumis sativus] (GB:AAD02832.1); similar to galactinol-raffinose galactosyltransferase [Vigna angularis] (GB:CAB64363.1); similar to putative alkaline alpha galactosidase I [Oryza sativa (japonica cultivar-group)] (GB:XP_550270.1); similar to putative raffinose synthase [Oryza sativa (japonica cultivar-group)] (GB:NP_909442.1); similar to stachyose synthase [Pisum sativum] (GB:CAD55555.1); contains InterPro domain Raffinose synthase (InterPro:IPR008811)
aCL6694Contig1	C18023E06,C02027F07	no	Galactokinase like protein	AT4G16130	GHMP kinase family protein, contains GHMP kinases putative ATP-binding protein domain, Pfam:PF00288
aCL673Contig1	C31106F02,C31108C09,C31201A09,C31202B02,C31208H07,C32002C04,C18011G09,C02001F05,C02008A07,C02015H03,KN0AAH1AB09,KN0AAH1BG08,C34010D09,C34010D10,C34106A10,C34106A11,C32011E06,KN0AAP4YH19,KN0AAP6YE05	no	Adenosine kinase isoform 1T-like protein	AT5G03300	adenosine kinase 2 (ADK2), contains Pfam profile: PF00294 pfkB family carbohydrate kinase; identical to cDNA adenosine kinase 2 (ADK2) GI:12017763
aCL6756Contig1	C18024E02,C08011B05	no	Putative beta-glycosidase	AT3G06510	glycosyl hydrolase family 1 protein, similar to Beta-galactosidase (SP:P22498) (Sulfolobus solfataricus}; almost identical to beta-glucosidase GB:AAF23823 GI:6685165 from (Arabidopsis thaliana)
aCL6760Contig1	C31009E08,C18012F11	no	no_annotation_available	no_similar_Arabidopsis_protein	
aCL6777Contig1	C18015A08,C01017H10	no	Gb|AAF27124.1	AT5G08480	VQ motif-containing protein, contains PF05678: VQ motif
aCL6780Contig1	C31504H09,C18021G06	no	Plastid alpha-amylase	AT1G69830	AMY3 | Encodes a plastid-localized &#945;-amylase. Expression is reduced in the SEX4 mutant. Loss of function mutations show normal diurnal pattern of starch accumulation/degradation. Expression follows circadian rhythms.
aCL6798Contig1	C18006A12,C18006B05	yes	At4g14950	AT4G14950	expressed protein
aCL67Contig5	C31003E09,C31100A02,C31101D02,C05011B06,KN0AAA2AH03,KN0AAB2CB12,C05073D11,C05074B03,C18008D02,C18008E01,C06009F03,C31604D02,C02024G03,C02025C09,C20005B05,C20009D08,C05072H04,C34001F08,C34006A07,C34010G09,C34107F11,C32005F02,C32006G11,C32007C02,C32011F10,C32108A02,C31803B11,KN0AAP8YC07	no	Pectinacetylesterase precursor	AT4G19420	pectinacetylesterase family protein, contains Pfam profile: PF03283 pectinacetylesterase
aCL6808Contig1	C18005H01,C06007E08	no	AT4g18030/T6K21_210	AT4G18030	dehydration-responsive family protein, similar to early-responsive to dehydration stress ERD3 protein (Arabidopsis thaliana) GI:15320410; contains Pfam profile PF03141: Putative methyltransferase
aCL6827Contig1	C18009A12,C18012H01	yes	Putative octicosapeptide/Phox/Bem1p (PB1) domain-/tetratricopeptide repeat (TPR)-containing protein	AT4G32070	octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein, similar to SP:Q99614 Tetratricopeptide repeat protein 1 {Homo sapiens}; contains Pfam profiles PF00564: PB1 domain, PF00515: TPR Domain
aCL684Contig2	C31401F07,C18013A06,IC0AAA87BA03,IC0AAA87BB01,IC0AAA26CE02,IC0AAA78DE06,IC0AAA97BC10,IC0AAA86DD05,C34208D04,KN0AAP13YB02	no	Ubiquitin-associated (UBA)/TS-N domain-containing protein-like	AT1G04850	ubiquitin-associated (UBA)/TS-N domain-containing protein, weak similarity to SP:P45974 Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.1.2.15) {Homo sapiens}; contains Pfam profile PF00627: UBA/TS-N domain
aCL685Contig1	C31007C06,C05014F03,KN0AAK3DB07,KN0AAK3AB07,C31401F10,C05074D07,C18014F06,C06005D01,C05054F01,KN0AAH1DF08,KN0AAH1DH12,C34006E07,C34105E05,C34208B05,C31702D02,C31704G08,C31706E01,KN0AAP2YI23	no	P0028E10.2 protein	AT3G51730	saposin B domain-containing protein, contains Pfam profiles: PF00026 eukaryotic aspartyl protease, PF03489 surfactant protein B, PF05184 saposin-like type B, region 1
aCL688Contig1	C31007E01,C31007F02,C31109G03,C21003H10,C21004B07,C18013C03,C04013F09,C02007A05,IC0AAA21BA08,IC0AAA86BC05,IC0AAA7DD11,C34106D10,C34107G10,C32009B01,KN0AAP6YK16,C01005D08	no	Vacuolar sorting receptor protein PV72-like protein	AT3G52850	vacuolar sorting receptor, putative, nearly identical to vacuolar sorting receptor homolog (GP:1737218) (Arabidopsis thaliana)
aCL6920Contig1	C18011G11,C06011H01	no	Arabidopsis thaliana genomic DNA, chromosome 3, P1 clone: MLN21	AT3G14280	expressed protein
aCL6954Contig1	C18006A07,C18022A05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aCL696Contig1	C05065D09,C18008E03,C18008G04,C19007B06,C19008C09,C32006B05,C32103H04	no	Nodulin-like protein	AT1G80530	nodulin family protein, similar to nodulin-like protein (Arabidopsis thaliana) GI:3329368, nodule-specific protein Nlj70 (Lotus japonicus) GI:3329366
aCL696Contig2	C18023G08,IC0AAA47DE01,IC0AAA94DC04,IC0AAA75BA02,IC0AAA16AB08,IC0AAA30DH07,KN0AAQ4YO08,IC0AAA72BB03,IC0AAA4BH03,IC0AAA33AA01,IC0AAA58AC02,IC0AAA83DD02	no	Nodulin-like protein	AT1G80530	nodulin family protein, similar to nodulin-like protein (Arabidopsis thaliana) GI:3329368, nodule-specific protein Nlj70 (Lotus japonicus) GI:3329366
aCL699Contig1	C18002F04,C18003D11,C18007B03,C18007B08,C18010F04,C18010H01,C18016B07,C05132C04,C05132D07,C20003F01	no	Type I proteinase inhibitor-like protein	AT2G38870	protease inhibitor, putative, similar to SP:P24076 Glu S.griseus protease inhibitor (BGIA) {Momordica charantia}; contains Pfam profile PF00280: Potato inhibitor I family
aCL69Contig4	C31002B01,KN0AAA3DB11,C18009E11,C18019D01,C18019E11,C18023G01,C05138F12,C05132H07	no	Caffeic acid O-methyltransferase	AT5G54160	quercetin 3-O-methyltransferase 1 / flavonol 3-O-methyltransferase 1 / caffeic acid/5-hydroxyferulic acid O-methyltransferase (OMT1), identical to O-methyltransferase 1 (Arabidopsis thaliana)(GI:2781394), SP:Q9FK25 Quercetin 3-O-methyltransferase 1 (EC 2.1.1.76) (AtOMT1) (Flavonol 3- O-methyltransferase 1) (Caffeic acid/5-hydroxyferulic acid O- methyltransferase) {Arabidopsis thaliana}
aCL6Contig12	C18004D08,C18021G05,C18021G11,C18023F01,C05808H08,C05810D04,KN0AAL2BH03	no	COR15	AT1G54410	dehydrin family protein, contains Pfam domain, PF00257: Dehydrin
aCL6Contig13	C18021D06,C04034G02,C31605D10,KN0AAL2BB01,C03003E02,C05072C07,KN0AAM3BH01	no	Synaptobrevin-like protein	AT2G33120	synaptobrevin-related protein / vesicle-associated membrane protein 722 (VAMP722) (SAR1), identical to r to Vesicle-associated membrane protein 722 (AtVAMP722) Synaptobrevin-related protein 1 (SP:P47192) {Arabidopsis thaliana}; identical to cDNA synaptobrevin-related protein (SAR1) GI:600709
aCL6Contig14	C18006A06,C18024H11,KN0AAL1DG09,KN0AAL3CG10	no	Nodulin-like protein	AT2G39210	nodulin family protein, similar to nodulin-like protein (Arabidopsis thaliana) GI:3329368, nodule-specific protein Nlj70 (Lotus japonicus) GI:3329366
aCL6Contig16	KN0AAK2BA11,KN0AAI2CG10,C31403D01,C32004E05,C18017G04,C05142F12,C05802A11,C05802G07,C04032F03,C04032F11,C04034C11,C04035A02,C04035B01,C04002A01,C04002B07,C04002B08,C04002E09,C04002G01,C04004D12,C04005F03,C04006C01,C04006G03,C04010A12,C04015C06,C04018B09,C04018C09,C04019B06,C04019H03,C04019H04,C04023E04,C04026B01,C04028D04,C04028D06,C04028H07,C04031C06,C05001F07,C05015H08,C02008F12,KN0AAQ7YA18,IC0AAA93BD04,IC0AAA93BD08,IC0AAA73CE11,IC0AAA34AE01,IC0AAA46DH09,IC0AAA11DG09,IC0AAA15BA08,IC0AAA49AG07,C20006B01,C05057D07,C08009H02,C08026F01,C34002D08,C34004A12,C34007G10,C06002C02,C06008D01,C06010A12,C06012H07,C07009A02,KN0AAP6YM22,KN0AAP8YC17,KN0AAP3YD02,KN0AAP3YJ16,KN0AAP5YD23,KN0AAP13YP08,KN0AAP7YI08,KN0AAP10YG24,KN0AAP2YM08,KN0AAP10YK23,KN0AAP9YP13,KN0AAP6YA14,KN0AAP12YN22,KN0AAP1YE11,KN0AAP6YG07,C01011D10	no	COR15	AT1G54410	dehydrin family protein, contains Pfam domain, PF00257: Dehydrin
aCL6Contig2	KN0AAK2CC06,C21006C06,C18005E04,C18012E03,C05810H02,C06011E09,C06015D08,C06017A04,C04035A10,C04005E03,KN0AAL3AC02,C08032A06,C08036A10,C08009E01,C08012H02,KN0AAP11YG14,KN0AAP5YE14,KN0AAP9YK14,KN0AAP12YL08	no	no_annotation_available	no_similar_Arabidopsis_protein	
aCL6Contig22	KN0AAA3BG02,C05014E07,C05701D11,C18010E05,C05138A04,C05138C11,C05138F09,C05138H04,C05139B01,C05139F10,C05140E08,C05141F08,C05142G07,C05146C08,C05146G05,C05146H02,C05801C02,C05801F01,C05801H08,C05802A06,C05802A12,C05802D02,C05803C03,C05803E03,C05803F10,C05808F05,C05809C01,C05811A09,C05811A10,C05131F10,C05132B04,C05132F06,C05132F10,C05136A05,C05136C04,C05136F04,C05808A09,C06001G05,C06017C11,C06019D05,C04032E07,C04033C07,C04004A06,C04004G05,C04005D10,C04006G08,C04006H06,C04011A03,C04017C10,C04019G07,C04026A06,C04028E01,C04029C04,C04029F02,C04031A07,C04031A11,C04031C12,IC0AAA25CC12,KN0AAQ10YC02,IC0AAA94BD11,IC0AAA96AA11,IC0AAA71BH08,C08030A04,C06020H02,KN0AAM1DF11,KN0AAM3DG04,KN0AAM2BF10,KN0AAM1AG04,KN0AAM1BB08,KN0AAM3BA06,KN0AAM3BH10,C07006A11,C07006H04,C07009E12,C07011C12,KN0AAP1YB19,KN0AAP6YE22,C01016H09	no	Heat shock protein	AT4G02380	late embryogenesis abundant 3 family protein / LEA3 family protein, similar to several small proteins (~100 aa) that are induced by heat, auxin, ethylene and wounding such as Phaseolus aureus indole-3-acetic acid induced protein ARG (SW:32292); contains Pfam profile PF03242: Late embryogenesis abundant protein
aCL6Contig6	C18004C12,C05809C10	no	COR15	no_similar_Arabidopsis_protein	
aCL6Contig7	KN0AAA2DC03,KN0AAI1BC09,KN0AAI3BD04,KN0AAI3BE01,KN0AAI2AE10,C18003B11,C18003C11,C18003E11,C18003F11,C18003G11,C18003H11,C18017A07,C06023A06,C06001C11,C06003B10,C06003D08,C06007H04,C06017G03,C06019G11,C04032E08,C04033B03,C04002D03,C04004A04,C04004C09,C04005H01,C04006C02,C04006D05,C04006D11,C04006G01,C04007H10,C04010B01,C04010D01,C04010D10,C04013B11,C04013D05,C04013D08,C04015E10,C04015G07,C04019D12,C04023C07,C04026G11,C04027B06,C04027C06,C04027E04,C04028A12,C04030C01,C04031D07,C05054G03,C05001B04,C05015C06,C02025G05,IC0AAA28AC10,IC0AAA53CF08,IC0AAA5CE09,IC0AAA43BH02,IC0AAA23CH12,IC0AAA66DF09,IC0AAA94AE12,IC0AAA36DB12,IC0AAA38CD10,KN0AAH2BE03,C34101F01,C34103C12,C32102D12,C06022E06,C06020A07,C07004F11,KN0AAP3YI03,KN0AAP13YJ18,KN0AAP13YM23,KN0AAP2YB13,KN0AAP7YG11,KN0AAP10YL17,KN0AAP4YF18,KN0AAP4YF23,KN0AAP4YH08,KN0AAP12YF14,KN0AAP9YK17,KN0AAP4YL11,KN0AAP12YL22,KN0AAP6YF04,C01013E03,C01008B09	no	COR15	AT1G54410	dehydrin family protein, contains Pfam domain, PF00257: Dehydrin
aCL6Contig9	C31001D08,C31200G12,C31209D05,C18024F03,C05809A04,C06001A09,C04026D01,C31601D12,KN0AAQ2YH20,IC0AAA98CG08,IC0AAA32DF02,C20006G04,C08035B07,C34106F08,C06024H03,C06014F08,C06022C09,C05043C12,C05044E03,KN0AAP1YO06,KN0AAP7YG23	no	6-phosphogluconate dehydrogenase	AT3G02360	6-phosphogluconate dehydrogenase family protein, contains Pfam profiles: PF00393 6-phosphogluconate dehydrogenase C-terminal domain, PF03446 NAD binding domain of 6-phosphogluconate ;similar to 6-phosphogluconate dehydrogenase GB:BAA22812 GI:2529229 (Glycine max)
aCL7000Contig1	C18022G03,KN0AAM1AD02	no	O-acetyltransferase-related, similar to O-acetyltransferase (GI:17063556) (Cryptococcus neoformans var. neoformans); contains 7 transmembrane domains	AT3G06550	O-acetyltransferase-related, similar to O-acetyltransferase (GI:17063556) (Cryptococcus neoformans var. neoformans); contains 7 transmembrane domains
aCL7031Contig1	KN0AAI3AC03,C18012A07	no	Zinc finger (C3HC4-type RING finger) protein-like	AT1G50440	zinc finger (C3HC4-type RING finger) family protein, contains Pfam profile: PF00097 zinc finger, C3HC4 type (RING finger)
aCL7037Contig1	C18017C02,C05070E10	no	Caffeoyl-CoA O-methyltransferase	AT4G34050	caffeoyl-CoA 3-O-methyltransferase, putative, nearly identical to GI:2960356 (Populus balsamifera subsp. trichocarpa), GI:684942 (Medicago sativa subsp. sativa) isoform contains a GT-TG intron which removes an internal segment of the protein.
aCL7053Contig1	C18007H07,C06011D09	no	Putative caltractin	AT2G46600	calcium-binding protein, putative, similar to EF-hand Ca2+-binding protein CCD1 (Triticum aestivum) GI:9255753
aCL7092Contig1	C18006H12,IC0AAA86CB08	no	Phloem calmodulin-like-domain protein kinase PCPK1	AT4G35310	calcium-dependent protein kinase, putative / CDPK, putative, similar to calmodulin-domain protein kinase CDPK isoform 6 (Arabidopsis thaliana) gi:1399275:gb:AAB03246; contains protein kinase domain, Pfam:PF00069; contains EF hand domain (calcium-binding EF-hand), Pfam:PF00036, INTERPRO:IPR002048
aCL7096Contig1	C18022H10,C34102H05	no	Putative AAA-type ATPase	AT3G28540	AAA-type ATPase family protein, contains Pfam profile: ATPase family PF00004
aCL710Contig1	C31102E12,C31106D08,KN0AAK2AB06,C18019B11,C18025G10,C05136B07,C04029F05,KN0AAL1AB06,KN0AAL2DC10,C08039D06,C08014G06,C08014G08,C08017B10,C08019B06,C08012F08,C08013A04,C06018H07,C31710E01	no	Chitinase CHI1	AT3G54420	class IV chitinase (CHIV), almost identical to class IV chitinase from GI:2597826 (Arabidopsis thaliana)
aCL7118Contig1	C18022F02,C04011E02	no	CPRD2 protein	AT4G20820	FAD-binding domain-containing protein, similar to SP:P30986 reticuline oxidase precursor (Berberine-bridge-forming enzyme) (BBE) (Tetrahydroprotoberberine synthase) (Eschscholzia californica); contains PF01565 FAD binding domain
aCL7123Contig1	C18012D05,C18018C06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aCL7127Contig1	C18018H04,KN0AAP13YI11	no	At5g11350/F2I11_240	AT5G11350	endonuclease/exonuclease/phosphatase family protein, contains Pfam profile PF03372: Endonuclease/Exonuclease/phosphatase family
aCL7128Contig1	C18004C05,C31702D01	no	Putative transmembrane protein	AT1G14010	emp24/gp25L/p24 family protein, similar to SP:P49755 Transmembrane protein Tmp21 precursor (21 kDa Transmembrane trafficking protein) {Homo sapiens}; contains Pfam profile PF01105: emp24/gp25L/p24 family
aCL7134Contig1	KN0AAI1DC09,C18012H06	no	Putative ethanolamine kinase 1	AT2G26830	EMB1187 | choline/ethanolamine kinase family protein, similar to SP:Q9HBU6 Ethanolamine kinase (EC 2.7.1.82) (EKI){Homo sapiens}, GmCK3p (Glycine max) GI:1438883; contains Pfam profile PF01633: Choline/ethanolamine kinase
aCL7145Contig1	C18016H05,C31801B09	no	Cytochrome P450 monooxygenase CYP83A	AT4G31500	cytochrome P450 83B1 (CYP83B1), Identical to Cytochrome P450 (SP:O65782 )(Arabidopsis thaliana)
aCL7149Contig1	C18019D03,KN0AAL2AF05	no	Arabidopsis thaliana genomic DNA, chromosome 5, P1 clone:MRI1	AT5G57685	expressed protein
aCL7174Contig1	C18014A06,C05808H09	no	no_annotation_available	no_similar_Arabidopsis_protein	
aCL717Contig1	C31304C10,C05065B05,C18013C11,C18013C12,C04016B12,KN0AAQ9YB16,KN0AAQ4YN20,IC0AAA41CH03,IC0AAA92AF10,IC0AAA9CA08,IC0AAA39CH02,IC0AAA29AC10,IC0AAA67BF02,C03004A08,C34103D03,C32103A05,KN0AAP3YG18,KN0AAP11YL16	no	SOS2-like protein kinase	AT4G30960	CBL-interacting protein kinase 6 (CIPK6), identical to CBL-interacting protein kinase 6 (Arabidopsis thaliana) gi:9280634:gb:AAF86505
aCL7181Contig1	C18015E10,C05811G09	no	Ribosomal protein L22	ATCG00810	RPL22 | encodes a chloroplast ribosomal protein L22, a constituent of the large subunit of the ribosomal complex | chrC:83467-83949 REVERSE | Aliases: RPL22
aCL7223Contig1	C18023C11,IC0AAA95AF04	no	calcium-binding EF hand family protein, contains INTERPRO:IPR002048 calcium-binding EF-hand domain	AT4G32060	calcium-binding EF hand family protein, contains INTERPRO:IPR002048 calcium-binding EF-hand domain
aCL7233Contig1	C18011F01,C08025E11	no	Protein At3g04910	AT3G04910	protein kinase family protein [Arabidopsis thaliana] (TAIR:At5g28080.1); similar to mitogen activated protein kinase kinase [Oryza sativa] (GB:AAC32599.1); contains InterPro domain Serine/threonine protein kinase, active site (InterPro:IPR008271); contains InterPro domain Tyrosine protein kinase (InterPro:IPR001245); contains InterPro domain Serine/threonine protein kinase (InterPro:IPR002290); contains InterPro domain Protein kinase (InterPro:IPR000719)
aCL7247Contig1	C18010H10,C08008C11	no	no_annotation_available	no_similar_Arabidopsis_protein	
